algorithm,outcome,model,feature_set,rsq_median,rsq_sd,feature_version,id
glmnet,continuous,poisson,raw_outgoing,0.07445216132161273,0.013426291126661988,features_cell_v2_network_v1,130
glmnet,continuous,poisson,raw_bidirectional,0.053382761310264225,0.014650517878041648,features_cell_v2_network_v1,131
glmnet,continuous,poisson,prop_incoming,0.13433424989160686,0.014736837116563348,features_cell_v2_network_v1,132
glmnet,continuous,poisson,prop_bidirectional,0.13433424989160686,0.014736837116563348,features_cell_v2_network_v1,133
glmnet,continuous,poisson,all_incoming,0.06667832464701531,0.018662850946301403,features_cell_v2_network_v1,134
glmnet,continuous,poisson,all_outgoing,0.0817829744399377,0.01467210398718275,features_cell_v2_network_v1,135
glmnet,continuous,poisson,all_bidirectional,0.055827459701227655,0.017173313048961022,features_cell_v2_network_v1,136
glmnet,continuous,normal,raw_incoming,0.04301087268456436,0.008838264748477102,features_cell_v2_network_v1,137
glmnet,continuous,normal,raw_outgoing,0.061526057723932506,0.019180683282325854,features_cell_v2_network_v1,138
glmnet,continuous,normal,raw_bidirectional,0.05333124987805523,0.008026175196221511,features_cell_v2_network_v1,139
glmnet,continuous,normal,prop_incoming,0.13241797272210074,0.014404447758453188,features_cell_v2_network_v1,140
glmnet,continuous,normal,prop_bidirectional,0.13241797272210074,0.014404447758453188,features_cell_v2_network_v1,141
glmnet,continuous,normal,all_incoming,0.04694072534757594,0.016730905774556784,features_cell_v2_network_v1,142
glmnet,continuous,normal,all_outgoing,0.048263644077106524,0.01720471860459872,features_cell_v2_network_v1,143
glmnet,continuous,normal,all_bidirectional,0.038552214956835855,0.015447436427896866,features_cell_v2_network_v1,144
glmnet,continuous,poisson,raw_incoming,0.06146129589468844,0.0202556481773114,features_cell_v2_network_v2,145
glmnet,continuous,poisson,raw_outgoing,0.05349235812321032,0.01992080660895417,features_cell_v2_network_v2,146
glmnet,continuous,poisson,raw_bidirectional,0.04630199373240848,0.012450971190257332,features_cell_v2_network_v2,147
glmnet,continuous,poisson,prop_incoming,0.11848862983948491,0.018570272960124774,features_cell_v2_network_v2,148
glmnet,continuous,poisson,prop_bidirectional,0.11848862983948491,0.018570272960124774,features_cell_v2_network_v2,149
glmnet,continuous,poisson,all_incoming,0.0908717034293037,0.022065552118445388,features_cell_v2_network_v2,150
glmnet,continuous,poisson,all_outgoing,0.07160743760625875,0.023343718941491134,features_cell_v2_network_v2,151
glmnet,continuous,poisson,all_bidirectional,0.06898704058530937,0.021725942790036406,features_cell_v2_network_v2,152
glmnet,continuous,normal,raw_incoming,0.048241537309116816,0.018184495325779537,features_cell_v2_network_v2,153
glmnet,continuous,normal,raw_outgoing,0.038141119803214676,0.01599318590471458,features_cell_v2_network_v2,154
glmnet,continuous,normal,raw_bidirectional,0.041713317316977895,0.009934160599745888,features_cell_v2_network_v2,155
glmnet,continuous,normal,prop_incoming,0.12187964746925847,0.019512385140832,features_cell_v2_network_v2,156
glmnet,continuous,normal,prop_bidirectional,0.12187964746925847,0.019512385140832,features_cell_v2_network_v2,157
glmnet,continuous,normal,all_incoming,0.06306028415923895,0.019797167784871124,features_cell_v2_network_v2,158
glmnet,continuous,normal,all_outgoing,0.04823013424445798,0.018953097439750672,features_cell_v2_network_v2,159
glmnet,continuous,normal,all_bidirectional,0.04560865076366695,0.01874540578649465,features_cell_v2_network_v2,160
glmnet,continuous,poisson,raw_incoming,0.04402815339711061,0.017074404377478248,features_cell_v2_network_v3,161
glmnet,continuous,poisson,raw_outgoing,0.04831175901410155,0.009693849325627312,features_cell_v2_network_v3,162
glmnet,continuous,poisson,raw_bidirectional,0.03537391706024282,0.013597136960222113,features_cell_v2_network_v3,163
glmnet,continuous,poisson,prop_incoming,0.14304334717534287,0.015454777083624156,features_cell_v2_network_v3,164
glmnet,continuous,poisson,prop_bidirectional,0.14304334717534287,0.015454777083624156,features_cell_v2_network_v3,165
glmnet,continuous,poisson,all_incoming,0.0833483244515249,0.01709646917369684,features_cell_v2_network_v3,166
glmnet,continuous,poisson,all_outgoing,0.08441004458101356,0.01367814544235416,features_cell_v2_network_v3,167
glmnet,continuous,poisson,all_bidirectional,0.08243810102188345,0.014224967862971094,features_cell_v2_network_v3,168
glmnet,continuous,normal,raw_incoming,0.04307315285959605,0.009273481343499328,features_cell_v2_network_v3,169
glmnet,continuous,normal,raw_outgoing,0.032816686442447215,0.012830883978027344,features_cell_v2_network_v3,170
glmnet,continuous,normal,raw_bidirectional,0.06196657420878239,0.008272542793279032,features_cell_v2_network_v3,171
glmnet,continuous,normal,prop_incoming,0.14344042526214565,0.015510671188961064,features_cell_v2_network_v3,172
glmnet,continuous,normal,prop_bidirectional,0.14344042526214565,0.015510671188961064,features_cell_v2_network_v3,173
glmnet,continuous,normal,all_incoming,0.07998730047987057,0.014928285962046754,features_cell_v2_network_v3,174
glmnet,continuous,normal,all_outgoing,0.08363733384652494,0.013113698849997213,features_cell_v2_network_v3,175
glmnet,continuous,normal,all_bidirectional,0.08568862865090772,0.013500706590014885,features_cell_v2_network_v3,176
glmnet,continuous,poisson,raw_incoming,0.047682024420720934,0.017184650235029512,features_cell_v2_network_v4,177
glmnet,continuous,poisson,raw_outgoing,0.04543702571057843,0.011225020424296538,features_cell_v2_network_v4,178
glmnet,continuous,poisson,raw_bidirectional,0.04813448229944453,0.010064734400878924,features_cell_v2_network_v4,179
glmnet,continuous,poisson,prop_incoming,0.14479560955194964,0.016442433295916145,features_cell_v2_network_v4,180
glmnet,continuous,poisson,prop_bidirectional,0.14479560955194964,0.016442433295916145,features_cell_v2_network_v4,181
glmnet,continuous,poisson,all_incoming,0.08619802468564622,0.017651953809605214,features_cell_v2_network_v4,182
glmnet,continuous,poisson,all_outgoing,0.07308051426184876,0.012992187921117414,features_cell_v2_network_v4,183
glmnet,continuous,poisson,all_bidirectional,0.07175555424229711,0.01708351134682783,features_cell_v2_network_v4,184
glmnet,continuous,normal,raw_incoming,0.042686568998601626,0.013633706477789801,features_cell_v2_network_v4,185
glmnet,continuous,normal,raw_outgoing,0.03714473223888405,0.014924480054974263,features_cell_v2_network_v4,186
glmnet,continuous,normal,raw_bidirectional,0.05586435670333538,0.009566949491615236,features_cell_v2_network_v4,187
glmnet,continuous,normal,prop_incoming,0.1448023826710532,0.016497817302949663,features_cell_v2_network_v4,188
glmnet,continuous,normal,prop_bidirectional,0.1448023826710532,0.016497817302949663,features_cell_v2_network_v4,189
glmnet,continuous,normal,all_incoming,0.06868178756299004,0.012825889152725896,features_cell_v2_network_v4,190
glmnet,continuous,normal,all_outgoing,0.06979325789135829,0.012636190902906469,features_cell_v2_network_v4,191
glmnet,continuous,normal,all_bidirectional,0.06773538799832993,0.012740643579313905,features_cell_v2_network_v4,192
glmnet,continuous,poisson,raw_incoming,0.05519740901512589,0.0156683798888573,features_cell_v1_network_v1_full,193
glmnet,continuous,poisson,raw_outgoing,0.04386746686332495,0.007917022410530567,features_cell_v1_network_v1_full,194
glmnet,continuous,poisson,raw_bidirectional,0.04733881997306179,0.015908104986813408,features_cell_v1_network_v1_full,195
glmnet,continuous,poisson,prop_incoming,0.13561980152427805,0.01526542171440534,features_cell_v1_network_v1_full,196
glmnet,continuous,poisson,prop_bidirectional,0.13561980152427805,0.01526542171440534,features_cell_v1_network_v1_full,197
glmnet,continuous,poisson,all_incoming,0.05468151059768513,0.011848575855452976,features_cell_v1_network_v1_full,198
glmnet,continuous,poisson,all_outgoing,0.05620969267265953,0.016924443053861187,features_cell_v1_network_v1_full,199
glmnet,continuous,poisson,all_bidirectional,0.04762205295921915,0.011039598469978098,features_cell_v1_network_v1_full,200
glmnet,continuous,normal,raw_incoming,0.038342355656909424,0.007922858589539488,features_cell_v1_network_v1_full,201
glmnet,continuous,normal,raw_outgoing,0.03416645912589224,0.014570273225340458,features_cell_v1_network_v1_full,202
glmnet,continuous,normal,raw_bidirectional,0.036504513335166175,0.013034285117412918,features_cell_v1_network_v1_full,203
glmnet,continuous,normal,prop_incoming,0.13591903608123362,0.015243775421868925,features_cell_v1_network_v1_full,204
glmnet,continuous,normal,prop_bidirectional,0.13591903608123362,0.015243775421868925,features_cell_v1_network_v1_full,205
glmnet,continuous,normal,all_incoming,0.0528167906148795,0.010949995792497322,features_cell_v1_network_v1_full,206
glmnet,continuous,normal,all_outgoing,0.04581797323431128,0.009125788431571455,features_cell_v1_network_v1_full,207
glmnet,continuous,normal,all_bidirectional,0.04609690353268871,0.009131946135633853,features_cell_v1_network_v1_full,208
glmnet,continuous,poisson,raw_incoming,0.05883365903255429,0.019631744262373216,features_cell_v1_network_v2_full,209
glmnet,continuous,poisson,raw_outgoing,0.04530102691176172,0.011669695614685109,features_cell_v1_network_v2_full,210
glmnet,continuous,poisson,raw_bidirectional,0.0503223165329533,0.017542380745902888,features_cell_v1_network_v2_full,211
glmnet,continuous,poisson,prop_incoming,0.1179348418367479,0.01814350181956837,features_cell_v1_network_v2_full,212
glmnet,continuous,poisson,prop_bidirectional,0.1179348418367479,0.01814350181956837,features_cell_v1_network_v2_full,213
glmnet,continuous,poisson,all_incoming,0.07694283976676819,0.020631982336348244,features_cell_v1_network_v2_full,214
glmnet,continuous,poisson,all_outgoing,0.06699266951075132,0.018399598580475077,features_cell_v1_network_v2_full,215
glmnet,continuous,poisson,all_bidirectional,0.0708188430591661,0.01823917453396663,features_cell_v1_network_v2_full,216
glmnet,continuous,normal,raw_incoming,0.0538386462460593,0.015244411447990039,features_cell_v1_network_v2_full,217
glmnet,continuous,normal,raw_outgoing,0.042381530319099546,0.014010885907051046,features_cell_v1_network_v2_full,218
glmnet,continuous,normal,raw_bidirectional,0.043174947895859184,0.012864194991151228,features_cell_v1_network_v2_full,219
glmnet,continuous,normal,prop_incoming,0.11880422865743137,0.01913232219502061,features_cell_v1_network_v2_full,220
glmnet,continuous,normal,prop_bidirectional,0.11880422865743137,0.01913232219502061,features_cell_v1_network_v2_full,221
glmnet,continuous,normal,all_incoming,0.06801841191340921,0.01841102670458586,features_cell_v1_network_v2_full,222
glmnet,continuous,normal,all_outgoing,0.05000878854594348,0.01414268543002834,features_cell_v1_network_v2_full,223
glmnet,continuous,normal,all_bidirectional,0.05998766166864379,0.013019991584485371,features_cell_v1_network_v2_full,224
glmnet,continuous,poisson,raw_incoming,0.05680736792089215,0.016065214717450375,features_cell_v1_network_v3_full,225
glmnet,continuous,poisson,raw_outgoing,0.05299557317286585,0.008222503479352708,features_cell_v1_network_v3_full,226
glmnet,continuous,poisson,raw_bidirectional,0.04019051883892762,0.0068317732053592576,features_cell_v1_network_v3_full,227
glmnet,continuous,poisson,prop_incoming,0.14262827207628292,0.016202135867028542,features_cell_v1_network_v3_full,228
glmnet,continuous,poisson,prop_bidirectional,0.14262827207628292,0.016202135867028542,features_cell_v1_network_v3_full,229
glmnet,continuous,poisson,all_incoming,0.08789123596743403,0.012820807092389135,features_cell_v1_network_v3_full,230
glmnet,continuous,poisson,all_outgoing,0.09135462462769615,0.013251911197093975,features_cell_v1_network_v3_full,231
glmnet,continuous,poisson,all_bidirectional,0.09135462462769615,0.013290081614901795,features_cell_v1_network_v3_full,232
glmnet,continuous,normal,raw_incoming,0.03699522844151646,0.008290806941672958,features_cell_v1_network_v3_full,233
glmnet,continuous,normal,raw_outgoing,0.031872410569976965,0.008123993769816446,features_cell_v1_network_v3_full,234
glmnet,continuous,normal,raw_bidirectional,0.029882412336350708,0.011615449492488524,features_cell_v1_network_v3_full,235
glmnet,continuous,normal,prop_incoming,0.1426282720762828,0.01619529276144467,features_cell_v1_network_v3_full,236
glmnet,continuous,normal,prop_bidirectional,0.1426282720762828,0.01619529276144467,features_cell_v1_network_v3_full,237
glmnet,continuous,normal,all_incoming,0.08799006235356305,0.012264323547802512,features_cell_v1_network_v3_full,238
glmnet,continuous,normal,all_outgoing,0.09610563388712251,0.012904540298745616,features_cell_v1_network_v3_full,239
glmnet,continuous,normal,all_bidirectional,0.09687660848000731,0.013335679613149133,features_cell_v1_network_v3_full,240
glmnet,continuous,poisson,raw_incoming,0.05058300143485328,0.014553423754083281,features_cell_v1_network_v4_full,241
glmnet,continuous,poisson,raw_outgoing,0.05238729864160714,0.008455903519909078,features_cell_v1_network_v4_full,242
glmnet,continuous,poisson,raw_bidirectional,0.04471636389688796,0.009650654704329959,features_cell_v1_network_v4_full,243
glmnet,continuous,poisson,prop_incoming,0.14479560955194964,0.01646957988690702,features_cell_v1_network_v4_full,244
glmnet,continuous,poisson,prop_bidirectional,0.14479560955194964,0.01646957988690702,features_cell_v1_network_v4_full,245
glmnet,continuous,poisson,all_incoming,0.08435213825057453,0.015346434126792595,features_cell_v1_network_v4_full,246
glmnet,continuous,poisson,all_outgoing,0.08647125563745045,0.01276662322465873,features_cell_v1_network_v4_full,247
glmnet,continuous,poisson,all_bidirectional,0.08647125563745045,0.012786991938408848,features_cell_v1_network_v4_full,248
glmnet,continuous,normal,raw_incoming,0.044090380969043635,0.009806652302479171,features_cell_v1_network_v4_full,249
glmnet,continuous,normal,raw_outgoing,0.03631657888543567,0.008753516002749857,features_cell_v1_network_v4_full,250
glmnet,continuous,normal,raw_bidirectional,0.040462584891044685,0.013142445989223673,features_cell_v1_network_v4_full,251
glmnet,continuous,normal,prop_incoming,0.1448023826710532,0.016546767107668708,features_cell_v1_network_v4_full,252
glmnet,continuous,normal,prop_bidirectional,0.1448023826710532,0.016546767107668708,features_cell_v1_network_v4_full,253
glmnet,continuous,normal,all_incoming,0.0845898116333991,0.012956292542359074,features_cell_v1_network_v4_full,254
glmnet,continuous,normal,all_outgoing,0.09448303586301832,0.012334608644842992,features_cell_v1_network_v4_full,255
glmnet,continuous,normal,all_bidirectional,0.09448303586301832,0.012430115065398262,features_cell_v1_network_v4_full,256
glmnet,continuous,poisson,raw_incoming,0.046379090580940294,0.016335049112222562,features_cell_v2_network_v1_full,257
glmnet,continuous,poisson,raw_outgoing,0.07355619913086482,0.013549807634912864,features_cell_v2_network_v1_full,258
glmnet,continuous,poisson,raw_bidirectional,0.04721686876886858,0.011036421983392065,features_cell_v2_network_v1_full,259
glmnet,continuous,poisson,prop_incoming,0.13433424989160686,0.014936884405970708,features_cell_v2_network_v1_full,260
glmnet,continuous,poisson,prop_bidirectional,0.13433424989160686,0.014936884405970708,features_cell_v2_network_v1_full,261
glmnet,continuous,poisson,all_incoming,0.049759391794988846,0.018077631111417178,features_cell_v2_network_v1_full,262
